Zip,Count
00720,4
00909,1
01001,1
01002,4
01003,9
01005,1
01008,1
01013,6
01020,3
01022,1
01031,1
01033,1
01035,4
01040,4
01062,1
01063,12
01069,1
01082,11
01083,1
01085,13
01089,2
01095,6
01103,44
01104,1
01107,7
01108,10
01109,12
01119,6
01201,5
01230,3
01238,2
01240,1
01257,1
01267,1
01301,1
01346,1
01376,1
01420,8
01440,5
01450,5
01451,1
01453,41
01463,10
01464,5
01475,1
01501,15
01503,1
01504,3
01507,1
01510,11
01516,1
01520,4
01523,1
01525,1
01527,1
01532,26
01536,2
01540,26
01545,36
01560,2
01562,1
01564,3
01569,8
01570,11
01581,12
01588,1
01602,12
01603,8
01604,8
01605,2
01606,22
01607,2
01608,221
01609,2
01610,1
01612,1
01701,7
01702,104
01719,7
01720,11
01721,22
01730,4
01740,2
01742,10
01746,6
01748,2
01749,4
01752,51
01756,3
01757,57
01760,36
01776,26
01778,31
01801,36
01803,26
01810,12
01821,19
01824,19
01826,10
01830,11
01832,1
01833,2
01840,32
01841,3
01843,1
01844,26
01845,53
01850,11
01851,2
01852,80
01854,2
01862,11
01863,1
01864,26
01867,48
01876,10
01879,2
01880,24
01886,2
01887,6
01890,26
01901,12
01902,3
01904,34
01905,27
01906,8
01907,15
01913,1
01915,14
01921,3
01923,14
01930,9
01938,1
01940,3
01944,14
01945,16
01949,1
01950,28
01952,1
01960,25
01970,16
01982,16
01984,19
01985,1
02019,26
02021,1
02025,4
02026,24
02030,1
02035,12
02038,28
02043,17
02045,7
02048,2
02052,8
02053,9
02054,5
02061,1
02062,34
02066,3
02067,1
02071,1
02072,4
02081,3
02090,4
02093,3
02108,985
02109,12
02110,36
02111,35
02113,23
02114,27
02115,3
02116,43
02118,317
02119,12
02120,57
02121,12
02122,9
02124,17
02125,14
02127,21
02128,13
02129,8
02130,14
02131,9
02132,21
02134,30
02135,75
02136,12
02138,25
02139,80
02140,13
02141,2
02142,1
02143,94
02144,23
02145,28
02148,98
02149,7
02150,26
02151,15
02152,9
02155,81
02163,9
02169,82
02170,10
02171,8
02176,11
02180,41
02184,35
02186,22
02188,6
02189,40
02190,4
02199,27
02210,1
02215,29
02301,21
02302,32
02324,6
02330,1
02333,3
02341,6
02346,9
02347,9
02351,8
02356,9
02357,1
02359,13
02360,37
02364,29
02367,1
02368,47
02370,13
02379,2
02382,1
02420,8
02421,51
02445,19
02446,63
02451,30
02452,5
02453,86
02458,16
02459,6
